Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
460,15/07/2013,ಕಂದಾಯ,Revenue,"ದೇವನಹಳ್ಳಿ ತಾಲೂಕು, ಕಸಬಾ ಹೋಬಳಿ ಗುಟ್ಟಹಳ್ಳಿಯಲ್ಲಿ ಜಮೀನು ಗುತ್ತಿಗೆ ನೀಡಿರುವುದು","Land lease on Devanahalli Taluk, Kasaba Hobli Guttaahalli",ಪಿಳ್ಳ ಮುನಿಶಾಮಪ್ಪ,Pillai Munisamappa
461,15/07/2013,ಸಕ್ಕರೆ,Sugar,ಸಕ್ಕರೆ ಕಾರ್ಖಾನೆಗಳ ಬಾಕಿ ಹಣ,Sugar Factories Pending Money,ರಾಜೀವ್ ಪಿ.,Rajiv P 
462,15/07/2013,ಸಣ್ಣ ನೀರಾವರಿ,Small irrigation,ಕುಡಿಯುವ ನೀರಿನ ಸಮಸ್ಯೆ,Drinking water problem,ರಾಜೀವ್ ಪಿ.,Rajiv P 
463,15/07/2013,ಭಾರೀ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಕುಡಚಿ ಸೇತುವೆ ಎತ್ತರಿಸುವಿಕೆ,Uphill Bridge lifting,ರಾಜೀವ್ ಪಿ.,Rajiv P 
464,15/07/2013,ಕಂದಾಯ,Revenue,ಪಹಣಿ ವಿತರಣೆ ಕೇಂದ್ರ,Pump Distribution Center,ರಾಜೀವ್ ಪಿ.,Rajiv P 
465,15/07/2013,ಭಾರೀ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಜಲಸಂಪನ್ಮೂಲ ಕಾರ್ಯಯೋಜನೆ,Water Resource Program,ರಮೇಶ್ ಬಂಡಿಸಿದ್ದೇಗೌಡ ಎ.ಬಿ.,Ramesh Bundigida Gowda AB
466,15/07/2013,ಮೀನುಗಾರಿಕೆ,Fishing,ಮೀನುಗಾರಿಕಾ ಅಭಿವೃದ್ಧಿ,Fishing Development,ರಮೇಶ್ ಕುಮಾರ್ ಕೆ.ಆರ್.,Ramesh Kumar KR
467,15/07/2013,ಕಂದಾಯ,Revenue,ಹುದ್ದೆಗಳ ಭರ್ತಿ,Filling up posts,ರಮೇಶ್ ಕುಮಾರ್ ಕೆ.ಆರ್.,Ramesh Kumar KR
468,15/07/2013,ಅರಣ್ಯ,Forest,ಅರಣ್ಯ ಪ್ರದೇಶದ ವಿಸ್ತೀರ್ಣ,Area of ​​forest area,ರಮೇಶ್ ಕುಮಾರ್ ಕೆ.ಆರ್.,Ramesh Kumar KR
469,15/07/2013,ಕಂದಾಯ,Revenue,ಸುವರ್ಣ ಭೂಮಿ ಯೋಜನೆಗಳ ಫಲಾನುಭವಿಗಳ ವಿವರ,Details of Beneficiaries of Golden Earth Plans,ರವಿ ಸಿ.ಟಿ.,Ravi CT
470,15/07/2013,ಕಂದಾಯ,Revenue,ಸರ್ಕಾರಿ ಜಮೀನಿನ ಸ್ವಾಧೀನದ ಬಗ್ಗೆ,About Government Land Acquisition,ರವಿ ಸಿ.ಟಿ.,Ravi CT
471,15/07/2013,ಕಾರ್ಮಿಕ,Labor,ಐ.ಟಿ.ಐ. ಕಾಲೇಜುಗಳಿಗೆ ಮೂಲ ಸೌಕರ್ಯ,ITI Infrastructure for colleges,ರೇವಣ್ಣ ಹೆಚ್.ಡಿ.,Revanna HD
472,15/07/2013,ಕಂದಾಯ,Revenue,ಹೋಬಳಿ ಕೇಂದ್ರಗಳ ಘೋಷಣೆ,Declaration of Hobli Centers,ಶಿವಾನಂದ ಎಸ್. ಪಾಟೀಲ,Sivananda S  Patil
473,15/07/2013,ಕಾರ್ಮಿಕ,Labor,ಇಲಾಖಾ ಕಛೇರಿ ಮತ್ತು ನಿರೀಕ್ಷಕರ ಹುದ್ದೆ ಸೃಜಿಸುವುದು,Creating a post office and an assignee's post,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್.ಎನ್.,Subburdy SN
474,15/07/2013,ಕಂದಾಯ,Revenue,ಮಂಜೂರಾದ ಮತ್ತು ಖಾಲಿ ಇರುವ ಜಮೀನಿನ ವಿವರ,Details of sanctioned and empty land,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್.ಎನ್.,Subburdy SN
475,15/07/2013,ಕಾರ್ಮಿಕ,Labor,ಉದ್ಯೋಗ ಮತ್ತು ತರಬೇತಿ ಇಲಾಖೆಯಲ್ಲಿನ ಹುದ್ದೆಯ ಸೃಜನೆ,Creation of vacancies in the Department of Employment and Training,ತನ್ವೀರ್ ಸೇಠ್,Tanvir Seth
476,15/07/2013,ಕಾರ್ಮಿಕ,Labor,ಜಂಟಿ ನಿರ್ದೇಶಕರ ವಜಾ ಪ್ರಸ್ತಾವನೆ,Joint Director's Firing Proposal,ತನ್ವೀರ್ ಸೇಠ್,Tanvir Seth
477,15/07/2013,ಅರಣ್ಯ,Forest,ಆನೆಗಳ ದಾಳಿಗೆ ಸರ್ಕಾರ ಕೈಗೊಂಡ ಕ್ರಮ,Action taken by the government for attacking elephants,ತನ್ವೀರ್ ಸೇಠ್,Tanvir Seth
478,15/07/2013,ಮುಜರಾಯಿ,Muzarai,ಮಠ ಮಂದಿರಗಳಿಗೆ ಹಾಗು ದೇವಾಲಯಗಳಿಗೆ ಬಿಡುಗಡೆ ಮಾಡಿದ ಅನುದಾನ,Grants released to monasteries and temples,ವಸಂತ ಬಂಗೇರ ಕೆ.,Vasanth Bangera K 
479,15/07/2013,ಕಂದಾಯ,Revenue,ಆಕ್ರಮ ಸಕ್ರಮ ಜಾಗಗಳ ನಿವೇಶನಗಳು,Sites of Occupation Active Places,ವಸಂತ ಬಂಗೇರ ಕೆ.,Vasanth Bangera K 
480,15/07/2013,ಸಕ್ಕರೆ,Sugar,ಸಕ್ಕರೆ ಕಾರ್ಖಾನೆಗಳನ್ನು ಪುನಶ್ಚೇತನಗೊಳಿಸುವುದು,Renew sugar factories,ಯಶವಂತರಾಯಗೌಡ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್,Yashwantra Gowda Vitthal Gowda Patil
481,15/07/2013,ಭಾರೀ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಏತ ನೀರಾವರಿ ಯೋಜನೆ,What is irrigation scheme?,ಯಶವಂತರಾಯಗೌಡ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್,Yashwantra Gowda Vitthal Gowda Patil
482,15/07/2013,ಕಂದಾಯ,Revenue,ಮಿನಿ ವಿಧಾನಸೌಧ ನಿರ್ಮಾಣ,Construction of Mini Methods,ಯಶವಂತರಾಯಗೌಡ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್,Yashwantra Gowda Vitthal Gowda Patil
483,15/07/2013,ಸಣ್ಣ ಕೈಗಾರಿಕೆ,Small industry,ಕೆರೆಗೆ ನೀರು ತುಂಬುವ ಯೋಜನೆ,Planning water for the lake,ಯಶವಂತರಾಯಗೌಡ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್,Yashwantra Gowda Vitthal Gowda Patil
484,16/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ಬಿಬಿಎಂಪಿ. ಅಡಿಯಲ್ಲಿನ ಸುಲಭ್ ಶೌಚಾಲಯಗಳು,BBMP Easy toilets under,ರೋಷನ್ ಬೇಗ್ ಆರ್.,Roshan Baig R 
485,16/07/2013,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರ,Law and Parliamentary Affairs,ಸಂಚಾರಿ ಹೈಕೋರ್ಟ್ ಪೀಠ,Circuit High Court,ಕೋಳೀವಾಡ ಕೆ.ಬಿ.,Kolivada KB
486,16/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ಭೂವಲಯ ಪರಿವರ್ತನೆ ಮಾಡುವುದು,Transition to Earth,ಯಶವಂತರಾಯಗೌಡ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್,Yashwantra Gowda Vitthal Gowda Patil
487,16/07/2013,ಗೃಹ,Home,ಕೋಮು ಗಲಭೆ ವಿವರ,Communal riot details,ರವಿ ಸಿ.ಟಿ.,Ravi CT
488,16/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ಆಧಾರ್ ಕೇಂದ್ರಗಳು,Aadhaar Centers,ಚೆಲುವರಾಯಸ್ವಾಮಿ ಎನ್.,Cheluvaraswamy N 
489,16/07/2013,ಇಂಧನ,Fuel,ಟ್ರಾನ್ಸ್ ಫಾರ್ಮರ್ ಗಳು ಸುಟ್ಟು ಹೋಗಿರುವುದು,Transmers burned,ರಾಜೀವ ಪಿ.,Rajiva P 
490,16/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ಗಣಿಗಾರಿಕೆ ಬಗ್ಗೆ ಲೋಕಾಯುಕ್ತ ವರದಿ,Lokayukta report on mining,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ದರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
491,16/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಪಶು ಆಹಾರದ ದರ ದ್ವಿಗುಣವಾಗಿರುವುದು,The rate of animal food is doubled,ರೇವಣ್ಣ ಹೆಚ್.ಡಿ.,Revanna HD
492,16/07/2013,ಇಂಧನ,Fuel,ಟ್ರಾನ್ಸ್ ಫಾರ್ಮರ್ ರಿಪೇರಿ ಕೇಂದ್ರ,Transmitter Repair Center,ರಮೇಶ್ ಬಂಡಿಸಿದ್ದೇಗೌಡ ಎ.ಬಿ.,Ramesh Bundigida Gowda AB
493,16/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ನಮ್ಮ ಮೆಟ್ರೋ ನಿಲ್ದಾಣವನ್ನು ಸ್ಥಳಾಂತರಿಸುವುದು,Moving our metro station,ಗೋಪಾಲಯ್ಯ ಕೆ.,Gopalaiah K 
494,16/07/2013,ಗೃಹ,Home,ಅಗ್ನಿಶಾಮಕ ಠಾಣೆ ತೆರೆಯುವುದು,Open fire station,ಪಿಳ್ಳ ಮುನಿಶಾಮಪ್ಪ,Pillai Munisamappa
495,16/07/2013,ಅಡಳಿತ ಸುಧಾರಣೆ,Governance improvement,ಆಡಳಿತ ಸುಧಾರಣೆ ಆಯೋಗಕ್ಕೆ ಶ್ರೀ ಹಾರ್ನಹಳ್ಳಿ ರಾಮಸ್ವಾಮಿರವರ ನೇಮಕಾತಿ,Appointment of Mr. Hornahalli Ramaswamy to the Administrative Reforms Commission,ರಮೇಶ್ ಕುಮಾರ್ ಕೆ.ಆರ್.,Ramesh Kumar KR
496,16/07/2013,ಗೃಹ,Home,ಹೊಸ ಪೋಲಿಸ್ ಠಾಣೆಗಳನ್ನು ಪ್ರಾರಂಭಿಸುವುದು,Getting started new police stations,ತನ್ವೀರ್ ಸೇಠ್,Tanvir Seth
497,16/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಹಾಲಿನ ಪ್ರೋತ್ಸಾಹ ಧನ,Milk incentives,ಪ್ರಕಾಶ್ ಹೆಚ್.ಎಸ್.,Prakash HS
498,16/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ನಮ್ಮ ಮೆಟ್ರೋ ಕಾಮಗಾರಿ,Our Metro Works,ಅಪ್ಪಾಜಿ ಚನ್ನಬಸವರಾಜ್ ಶಂಕರರಾವ್ ನಾಡಗೌಡ,Appaji Chanabasavaraj Shankarrao Nadgowda
499,16/07/2013,ಇಂಧನ,Fuel,ಸಮರ್ಪಕ ವಿದ್ಯುತ್ ಪೂರೈಕೆ,Adequate power supply,ಅಪ್ಪಾಜಿ ಚನ್ನಬಸವರಾಜ್ ಶಂಕರರಾವ್ ನಾಡಗೌಡ,Appaji Chanabasavaraj Shankarrao Nadgowda
500,16/07/2013,ಗೃಹ,Home,ಗುಪ್ತ ದಳದ ಬಲವರ್ಧನೆ,Covert reinforcement,ಈಶ್ವರ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
501,16/07/2013,ಆರ್ಥಿಕ,Economy,ರಾಜ್ಯಕ್ಕೆ ಕೇಂದ್ರ ಸರ್ಕಾರದಿಂದ ಬಂದಿರುವ ಅನುದಾನ,Grants from the Central Government to the State,ಈಶ್ವರ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
502,16/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಅಪಘಾತದಲ್ಲಿ ವೃತಪಟ್ಟಿರುವುದು,In an electric accident,ಈಶ್ವರ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
503,16/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಹಾಲು ಶಿಥಲೀಕರಣ ಘಟಕ ಸ್ಥಾಪನೆ,Establishment of milk dehydration unit,ಈಶ್ವರ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
504,16/07/2013,ಇಂಧನ,Fuel,ಆಕ್ರಮ ವಿದ್ಯುತ್ ಸಂಪರ್ಕಗಳು,Invasive power connections,ಈಶ್ವರ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
505,16/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ನಂದಿನಿ ಶಾಪಿನ ಬಾಡಿಗೆ ಏರಿಸಿರುವುದು,Nandini Shop is rented up,ಗೋಪಾಲಯ್ಯ ಕೆ.,Gopalaiah K 
506,16/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ಕಸ ವಿಲೇವಾರಿ ಸ್ಥಗಿತಗೊಂಡಿರುವುದು,Disposal of garbage disposal,ಗೋಪಾಲಯ್ಯ ಕೆ.,Gopalaiah K 
507,16/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ಮಹಾ ಪೌರರ ಅನುದಾನದಲ್ಲಿ ಕೈಗೊಂಡ ಕಾಮಗಾರಿಗಳು,Works under the auspices of the Great Citizens,ಗೋಪಾಲಯ್ಯ ಕೆ.,Gopalaiah K 
508,16/07/2013,ಇಂಧನ,Fuel,ಹೊರ ರಾಜ್ಯಗಳಿಂದ ವಿದ್ಯುತ್ ಖರೀದಿ,Power purchase from outside states,ಗೋಪಾಲಯ್ಯ ಕೆ.,Gopalaiah K 
509,16/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಸಚಿವರ ನಿವಾಸ / ಕಛೇರಿಗಳ ನವೀಕರಣ,Minister's Home / Offices Renewal,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
510,16/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಕೆ.ಪಿ.ಎಸ್.ಸಿ. ನೇಮಕಾತಿ ಹಗರಣ,KPSC Recruitment scandal,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
511,16/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಲೋಕಾಯುಕ್ತರ ವರದಿ,Lokayukta report,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
512,16/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ಕೈಗಾರಿಕೆಗಳ ಸ್ಥಾಪನೆ,Establishment of industries,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
513,16/07/2013,ಆರ್ಥಿಕ,Economy,ವಿವಿಧ ತೆರಿಗೆಗಳ ಸಂಗ್ರಹಣೆ,Collection of various taxes,ಹ್ಯಾರಿಸ್ ಎನ್.ಎ.,Harris NA
514,16/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಾವಾರು ಕೈಗೊಂಡ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಳು,Development works undertaken by assembly constituencies,ಹ್ಯಾರಿಸ್ ಎನ್.ಎ.,Harris NA
515,16/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ಕುಡಿಯುವ ನೀರಿನ ಸರಬರಾಜಿಗೆ ಪರ್ಯಾಯ ವ್ಯವಸ್ಥೆ,An alternative system for drinking water supply,ಹ್ಯಾರಿಸ್ ಎನ್.ಎ.,Harris NA
516,16/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ಎಲಿವೇಟೆಡ್ ರಸ್ತೆ ನಿರ್ಮಾಣ,Elevated road construction,ಹ್ಯಾರಿಸ್ ಎನ್.ಎ.,Harris NA
517,16/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಜಾನುವಾರುಗಳಿಗೆ ಮೇವು ಸರಬರಾಜು,Fodder for livestock,ಹ್ಯಾರಿಸ್ ಎನ್.ಎ.,Harris NA
518,16/07/2013,ಗೃಹ,Home,ಕಾರಾಗೃಹಗಳಲ್ಲಿನ ಸೌಕರ್ಯಗಳ ಮಾಹಿತಿ,Accommodation information in prisons,ಜಗದೀಶ್ ಕುಮಾರ್ ಆರ್.,Jagdish Kumar R 
519,16/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಕೆ.ಐ.ಎ.ಡಿ.ಬಿ. ನೌಕರರ ಸೇವಾ ವಿವರ,KIADB Employee Service Profile,ಜಗದೀಶ್ ಕುಮಾರ್ ಆರ್.,Jagdish Kumar R 
520,16/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಕೆ.ಯು.ಐ.ಡಿ.ಎಫ್.ಸಿ. ಯೋಜನೆ,KUIDFCF Plan,ಕೋಳಿವಾಡ ಕೆ.ಬಿ.,Kolivada kb
521,16/07/2013,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ,Large and medium enterprise,ಕೈಗಾರಿಕೆಗಳ ಸ್ಥಾಪನೆ,Establishment of industries,ಕೋಳಿವಾಡ ಕೆ.ಬಿ.,Kolivada kb
522,16/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ಗಣಿಕಾರಿಕೆಗೆ ಅನುಮತಿ,Permission for mining,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ದರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
523,16/07/2013,ಗೃಹ,Home,ಪೋಲಿಸ್ ಸಿಬ್ಬಂದಿ ಕೊರತೆ,The lack of police personnel,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ದರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
524,16/07/2013,ಗೃಹ,Home,ಕೇಂದ್ರ ಹಾಗೂ ರಾಜ್ಯ ಸರ್ಕಾರದ ಅನುದಾನ,Grants from Center and State Government,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ದರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
525,16/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಕೆ.ಎ.ಎಸ್. ನಿಂದ ಐ.ಎ.ಎಸ್. ಗೆ ಬಡ್ತಿ ಪಡೆದಿರುವ ಅಧಿಕಾರಿಗಳು,KAS From IAS Promoted Officers,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ದರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
526,16/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಪಶು ವೈದ್ಯರ ಕೊರತೆ,Lack of veterinarians,ರಾಜೀವ್ ಪಿ.,Rajiv P 
527,16/07/2013,ಗೃಹ,Home,ಆರಕ್ಷಕ ಠಾಣೆ ಮಂಜೂರು ಮಾಡುವುದು,Allocation of Police Station,ರಾಜೀವ್ ಪಿ.,Rajiv P 
528,16/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಪಶು ವೈದ್ಯ ಆಸ್ಪತ್ರೆಗಳು,Veterinary Hospitals,ರಮೇಶ್ ಕುಮಾರ್ ಕೆ.ಆರ್.,Ramesh Kumar KR
529,16/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಐ.ಎಫ್.ಎಸ್. ಅಧಿಕಾರಿಗಳ ವಿವರ,IFS Details of the officers,ರಮೇಶ್ ಕುಮಾರ್ ಕೆ.ಆರ್.,Ramesh Kumar KR
530,16/07/2013,ಗೃಹ,Home,Charges in the police department,Charges in the police department,ರಮೇಶ್ ಕುಮಾರ್ ಕೆ.ಆರ್.,Ramesh Kumar KR
531,16/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ರಸ್ತೆಗಳ ಅಗಲೀಕರಣ,Roads widening,ರವಿಸುಬ್ರಹ್ಮಣ್ಯ ಎಲ್.ಎ.,Ravi Brahmanya L A 
532,16/07/2013,ಗೃಹ,Home,ಪೋಲಿಸ್ ಠಾಣೆಗಳಲ್ಲಿ ಸಿ.ಸಿ. ಟಿ.ವಿ. ಅಳವಡಿಕೆ,Cc in police stations TV show Adaptation,ರವಿಸುಬ್ರಹ್ಮಣ್ಯ ಎಲ್.ಎ.,Ravi Brahmanya L A 
533,16/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಸರ್ಕಾರಿ ಇಲಾಖೆಗಳ ವಿವರ ಒದಗಿಸುವುದು,Providing details of government departments,ರವಿಸುಬ್ರಹ್ಮಣ್ಯ ಎಲ್.ಎ.,Ravi Brahmanya L A 
534,16/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,Appointment of Poura Karmikas in BBMP,Appointment of Poura Karmikas in BBMP,ರೋಷನ್ ಬೇಗ್ ಆರ್.,Roshan Baig R 
535,16/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ಕಾಮಗಾರಿಗಳ ಹಾಗು ಇತರೆ ಅಭಿವೃದ್ಧಿ ಕಾರ್ಯಗಳು,Works and other development activities,ಸತೀಶ್ ರೆಡ್ಡಿ ಎಂ.,Satish Reddy M 
536,16/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ಕಾವೇರಿ ೪ನೇ ಹಂತ ೨ನೇ ಘಟ್ಟದ ನೀರಿನ ಸರಬರಾಜು,Cauvery 4th Stage 2nd Stage Water Supply,ಸತೀಶ್ ರೆಡ್ಡಿ ಎಂ.,Satish Reddy M 
537,16/07/2013,ಇಂಧನ,Fuel,ಕೂಡಗಿ ಉಷ್ಣ ವಿದ್ಯುತ್ ಸ್ಥಾವರ,The thermal power plant in addition,ಶಿವಾನಂದ ಎಸ್. ಪಾಟೀಲ,Sivananda S  Patil
538,16/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ಅನಧೀಕೃತ ಗಣಗಾರಿಕೆ ನಡೆಸುತ್ತಿರುವುದು,Unauthorized computing,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್.ಎನ್.,Subburdy SN
539,16/07/2013,ಗೃಹ,Home,ಪೋಲಿಸ್ ಆಧುನೀಕರಣ ಯೋಜನೆ,Police Modernization Plan,ಸುರೇಶ್ ಬಾಬು ಸಿ.ಬಿ.,Suresh Babu CB
540,16/07/2013,ಇಂಧನ,Fuel,ಕಂಬಗಳ ಜೊತೆ ಅಳವಡಿಸಲಾದ ಟಿ.ವಿ. ಕೇಬಲ್ ವಯರ್ ಗಳ ತೆರವುಗೊಳಿಸುವುದು,Inserted TV with pillars Clearing cable wires,ಸುರೇಶ್ ಬಾಬು ಸಿ.ಬಿ.,Suresh Babu CB
541,16/07/2013,ಆರ್ಥಿಕ,Economy,ವಿವಿಧ ಲೆಕ್ಕ ಶೀರ್ಷಿಕೆಯಡಿ ಬಿಡುಗಡೆ ಮಾಡಿದ ಮೊತ್ತ,Amount released under different accounting captions,ವಸಂತ ಬಂಗೇರ ಕೆ.,Vasanth Bangera K 
542,16/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಚುನಾವಣಾ ಖರ್ಚಿನ ವಿವರ,Election Expenditure Details,ವಸಂತ ಬಂಗೇರ ಕೆ.,Vasanth Bangera K 
543,16/07/2013,ಗೃಹ,Home,ಕು. ಸೌಜನ್ಯಳ ಅತ್ಯಾಚಾರ ಮತ್ತು ಕೊಲೆ ಪ್ರಕರಣದ ತನಿಖೆ,Ku Investigation on Sowjanya rape and murder case,ವಸಂತ ಬಂಗೇರ ಕೆ.,Vasanth Bangera K 
544,16/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ವಿವಿಧ ಇಲಾಖೆಗಳಲ್ಲಿ ಖಾಲಿಯಿರುವ ಹುದ್ದೆಗಳ,Employed vacancies in various departments,ವಸಂತ ಬಂಗೇರ ಕೆ.,Vasanth Bangera K 
545,16/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಸರಬರಾಜು ಕಂಪನಿಗಳಿಗೆ ಬಿಡುಗಡೆ ಮಾಡಿದ ಮೊತ್ತ,Amount released to power supply companies,ವಸಂತ ಬಂಗೇರ ಕೆ.,Vasanth Bangera K 
546,16/07/2013,ಗೃಹ,Home,ಪೋಲಿಸ್ ವಸತಿಗೃಹ ನಿರ್ಮಿಸುವುದು,Building a Police Hostel,ಯಶವಂತರಾಯಗೌಡ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್,Yashwantra Gowda Vitthal Gowda Patil
547,17/07/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪೌಢಶಿಕ್ಷಣ,Primary and Secondary Education,supply of uniform to the school children,supply of uniform to the school children,ಹ್ಯಾರೀಸ್ ಎನ್. ಎ.,Harris N A
548,17/07/2013,ವಸತಿ,Housing,Grievances of Suryanagar 3rd Phase,Grievances of Suryanagar 3rd Phase,ರವಿಸುಬ್ರಹ್ಮಣ್ಯ ಎಲ್.ಎ.,Ravi Brahmanya L A 
549,17/07/2013,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,Funcationing of Karnataka Examination Authority,Funcationing of Karnataka Examination Authority,ರೇವಣ್ಣ ಹೆಚ್.ಡಿ.,Revanna HD
550,17/07/2013,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,Tourism Development,Tourism Development,ತನ್ವೀರ್ ಸೇಠ್,Tanvir Seth
551,17/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,Providing Infrastructure to Raichur City,Providing Infrastructure to Raichur City,ಶಿವರಾಜ್ ಪಾಟೀಲ್ ಎಸ್.,Shivaraj Patil S 
552,17/07/2013,ಗ್ರಾಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್,Rural Development and Panchayat Raj,Problem of Drinking Water,Problem of Drinking Water,ಪಿಳ್ಳ ಮುನಿಶಾಮಪ್ಪ,Pillai Munisamappa
553,17/07/2013,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,Private Engineering Colleges,Private Engineering Colleges,ಪ್ರಕಾಶ್ ಹೆಚ್.ಎಸ್.,Prakash HS
